Windows PowerShell
Copyright (C) 2015 Microsoft Corporation. All rights reserved.

PS C:\xampp\htdocs\blog> php artisan serve
Laravel development server started: http://127.0.0.1:8000
[Thu Nov 14 10:01:45 2019] 127.0.0.1:51241 [200]: /js/app.js
[Thu Nov 14 10:01:45 2019] 127.0.0.1:51242 [200]: /favicon.ico
[Thu Nov 14 10:01:57 2019] 127.0.0.1:51246 [200]: /css/app.css
[Thu Nov 14 10:01:57 2019] 127.0.0.1:51249 [200]: /js/app.js
[Thu Nov 14 10:01:57 2019] 127.0.0.1:51250 [200]: /favicon.ico
[Thu Nov 14 10:04:20 2019] 127.0.0.1:51283 [200]: /css/app.css
[Thu Nov 14 10:04:20 2019] 127.0.0.1:51286 [200]: /js/app.js
[Thu Nov 14 10:04:20 2019] 127.0.0.1:51287 [200]: /favicon.ico
[Thu Nov 14 10:04:27 2019] 127.0.0.1:51291 [200]: /css/app.css
[Thu Nov 14 10:04:27 2019] 127.0.0.1:51293 [200]: /js/app.js
[Thu Nov 14 10:04:28 2019] 127.0.0.1:51294 [200]: /favicon.ico
[Thu Nov 14 10:04:30 2019] 127.0.0.1:51295 [200]: /css/app.css
[Thu Nov 14 10:04:30 2019] 127.0.0.1:51298 [200]: /js/app.js
[Thu Nov 14 10:04:30 2019] 127.0.0.1:51299 [200]: /favicon.ico
[Thu Nov 14 10:04:32 2019] 127.0.0.1:51301 [200]: /css/app.css
[Thu Nov 14 10:04:32 2019] 127.0.0.1:51304 [200]: /js/app.js
[Thu Nov 14 10:04:33 2019] 127.0.0.1:51305 [200]: /favicon.ico
[Thu Nov 14 10:04:42 2019] 127.0.0.1:51308 [200]: /favicon.ico
[Thu Nov 14 10:04:43 2019] 127.0.0.1:51309 [200]: /favicon.ico
[Thu Nov 14 10:04:44 2019] 127.0.0.1:51310 [200]: /favicon.ico
[Thu Nov 14 10:04:44 2019] 127.0.0.1:51311 [200]: /favicon.ico
[Thu Nov 14 10:04:51 2019] 127.0.0.1:51313 [200]: /favicon.ico
[Thu Nov 14 10:04:52 2019] 127.0.0.1:51315 [200]: /favicon.ico
[Thu Nov 14 10:04:58 2019] 127.0.0.1:51317 [200]: /css/app.css
[Thu Nov 14 10:04:58 2019] 127.0.0.1:51319 [200]: /js/app.js
[Thu Nov 14 10:04:59 2019] 127.0.0.1:51321 [200]: /favicon.ico
[Thu Nov 14 10:16:04 2019] 127.0.0.1:51466 [200]: /favicon.ico
[Thu Nov 14 10:16:09 2019] 127.0.0.1:51468 [200]: /favicon.ico
[Thu Nov 14 10:16:10 2019] 127.0.0.1:51469 [200]: /favicon.ico
[Thu Nov 14 10:16:11 2019] 127.0.0.1:51470 [200]: /favicon.ico
[Thu Nov 14 10:16:17 2019] 127.0.0.1:51472 [200]: /favicon.ico
[Thu Nov 14 10:16:17 2019] 127.0.0.1:51473 [200]: /favicon.ico
[Thu Nov 14 10:16:18 2019] 127.0.0.1:51474 [200]: /favicon.ico
[Thu Nov 14 10:16:18 2019] 127.0.0.1:51475 [200]: /favicon.ico
[Thu Nov 14 10:16:19 2019] 127.0.0.1:51476 [200]: /favicon.ico
[Thu Nov 14 10:16:30 2019] 127.0.0.1:51479 [200]: /css/app.css
[Thu Nov 14 10:16:30 2019] 127.0.0.1:51482 [200]: /js/app.js
[Thu Nov 14 10:16:30 2019] 127.0.0.1:51483 [200]: /favicon.ico
[Thu Nov 14 10:49:20 2019] 127.0.0.1:51913 [200]: /css/app.css
[Thu Nov 14 10:49:20 2019] 127.0.0.1:51916 [200]: /js/app.js
[Thu Nov 14 10:49:20 2019] 127.0.0.1:51917 [200]: /favicon.ico
[Thu Nov 14 10:50:27 2019] 127.0.0.1:51933 [200]: /css/app.css
[Thu Nov 14 10:50:27 2019] 127.0.0.1:51936 [200]: /js/app.js
[Thu Nov 14 10:50:27 2019] 127.0.0.1:51937 [200]: /favicon.ico
[Thu Nov 14 10:55:10 2019] 127.0.0.1:52004 [200]: /css/app.css
[Thu Nov 14 10:55:10 2019] 127.0.0.1:52007 [200]: /js/app.js
[Thu Nov 14 10:55:10 2019] 127.0.0.1:52008 [200]: /favicon.ico
[Thu Nov 14 11:03:23 2019] 127.0.0.1:52123 [200]: /css/app.css
[Thu Nov 14 11:03:23 2019] 127.0.0.1:52126 [200]: /js/app.js
[Thu Nov 14 11:03:23 2019] 127.0.0.1:52127 [200]: /favicon.ico
[Thu Nov 14 11:04:09 2019] 127.0.0.1:52138 [200]: /css/app.css
[Thu Nov 14 11:04:09 2019] 127.0.0.1:52140 [200]: /js/app.js
[Thu Nov 14 11:04:09 2019] 127.0.0.1:52142 [200]: /favicon.ico
[Thu Nov 14 11:04:24 2019] 127.0.0.1:52151 [200]: /favicon.ico
[Thu Nov 14 11:05:02 2019] 127.0.0.1:52159 [200]: /favicon.ico
[Thu Nov 14 11:05:17 2019] 127.0.0.1:52169 [200]: /css/app.css
[Thu Nov 14 11:05:17 2019] 127.0.0.1:52170 [200]: /js/app.js
[Thu Nov 14 11:05:18 2019] 127.0.0.1:52171 [200]: /favicon.ico
[Thu Nov 14 11:07:49 2019] 127.0.0.1:52209 [200]: /css/app.css
[Thu Nov 14 11:07:49 2019] 127.0.0.1:52212 [200]: /js/app.js
[Thu Nov 14 11:07:50 2019] 127.0.0.1:52213 [200]: /favicon.ico
[Thu Nov 14 11:11:48 2019] 127.0.0.1:52276 [200]: /favicon.ico
[Thu Nov 14 11:12:02 2019] 127.0.0.1:52284 [200]: /css/app.css
[Thu Nov 14 11:12:02 2019] 127.0.0.1:52287 [200]: /js/app.js
[Thu Nov 14 11:12:02 2019] 127.0.0.1:52288 [200]: /favicon.ico
[Thu Nov 14 11:12:26 2019] 127.0.0.1:52297 [200]: /favicon.ico
[Thu Nov 14 11:15:16 2019] 127.0.0.1:52345 [200]: /css/blog-post.css
[Thu Nov 14 11:15:16 2019] 127.0.0.1:52343 [200]: /images/kDtglZGODWAJKiRDnM9q2AeFaKlDRKMAqrxqiuXk.jpeg
[Thu Nov 14 11:15:16 2019] 127.0.0.1:52344 [200]: /css/app.css
[Thu Nov 14 11:15:16 2019] 127.0.0.1:52346 [200]: /js/app.js
[Thu Nov 14 11:15:17 2019] 127.0.0.1:52347 [200]: /favicon.ico
[Thu Nov 14 11:15:22 2019] 127.0.0.1:52349 [200]: /css/app.css
[Thu Nov 14 11:15:22 2019] 127.0.0.1:52351 [200]: /js/app.js
[Thu Nov 14 11:15:22 2019] 127.0.0.1:52352 [200]: /favicon.ico
[Thu Nov 14 11:15:48 2019] 127.0.0.1:52364 [200]: /css/app.css
[Thu Nov 14 11:15:48 2019] 127.0.0.1:52365 [200]: /js/app.js
[Thu Nov 14 11:15:48 2019] 127.0.0.1:52366 [200]: /favicon.ico
[Thu Nov 14 11:17:13 2019] 127.0.0.1:52390 [200]: /css/blog-post.css
[Thu Nov 14 11:17:13 2019] 127.0.0.1:52393 [200]: /js/app.js
[Thu Nov 14 11:17:13 2019] 127.0.0.1:52391 [200]: /css/app.css
[Thu Nov 14 11:17:13 2019] 127.0.0.1:52392 [200]: /images/keFwYvZwfQSht4FV4CRgYeO8xsXiz6BEizsQmeWS.jpeg
[Thu Nov 14 11:17:13 2019] 127.0.0.1:52394 [200]: /favicon.ico
[Thu Nov 14 11:18:17 2019] 127.0.0.1:52407 [200]: /css/app.css
[Thu Nov 14 11:18:17 2019] 127.0.0.1:52410 [200]: /js/app.js
[Thu Nov 14 11:18:17 2019] 127.0.0.1:52411 [200]: /favicon.ico
[Thu Nov 14 11:35:34 2019] 127.0.0.1:52692 [200]: /favicon.ico
[Thu Nov 14 11:38:40 2019] 127.0.0.1:52741 [200]: /favicon.ico
[Thu Nov 14 11:38:42 2019] 127.0.0.1:52742 [200]: /favicon.ico
[Thu Nov 14 11:38:45 2019] 127.0.0.1:52744 [200]: /css/app.css
[Thu Nov 14 11:38:45 2019] 127.0.0.1:52746 [200]: /images/keFwYvZwfQSht4FV4CRgYeO8xsXiz6BEizsQmeWS.jpeg
[Thu Nov 14 11:38:45 2019] 127.0.0.1:52747 [200]: /css/blog-home.css
[Thu Nov 14 11:38:45 2019] 127.0.0.1:52748 [200]: /images/kDtglZGODWAJKiRDnM9q2AeFaKlDRKMAqrxqiuXk.jpeg
[Thu Nov 14 11:38:45 2019] 127.0.0.1:52754 [200]: /js/app.js
[Thu Nov 14 11:38:48 2019] 127.0.0.1:52762 [200]: /favicon.ico
[Thu Nov 14 11:39:16 2019] 127.0.0.1:52769 [200]: /favicon.ico
[Thu Nov 14 11:39:18 2019] 127.0.0.1:52780 [200]: /css/app.css
[Thu Nov 14 11:39:18 2019] 127.0.0.1:52782 [200]: /js/app.js
[Thu Nov 14 11:39:19 2019] 127.0.0.1:52783 [200]: /favicon.ico
[Thu Nov 14 11:39:22 2019] 127.0.0.1:52787 [200]: /css/app.css
[Thu Nov 14 11:39:22 2019] 127.0.0.1:52789 [200]: /js/app.js
[Thu Nov 14 11:39:22 2019] 127.0.0.1:52790 [200]: /favicon.ico
[Thu Nov 14 11:41:19 2019] 127.0.0.1:52818 [200]: /css/app.css
[Thu Nov 14 11:41:19 2019] 127.0.0.1:52821 [200]: /js/app.js
[Thu Nov 14 11:41:20 2019] 127.0.0.1:52822 [200]: /favicon.ico
[Thu Nov 14 11:41:25 2019] 127.0.0.1:52828 [200]: /favicon.ico
[Thu Nov 14 11:42:02 2019] 127.0.0.1:52838 [200]: /favicon.ico
[Thu Nov 14 11:42:04 2019] 127.0.0.1:52841 [200]: /css/app.css
[Thu Nov 14 11:42:04 2019] 127.0.0.1:52843 [200]: /js/app.js
[Thu Nov 14 11:42:04 2019] 127.0.0.1:52844 [200]: /favicon.ico
[Thu Nov 14 11:42:09 2019] 127.0.0.1:52850 [200]: /favicon.ico
[Thu Nov 14 11:42:46 2019] 127.0.0.1:52862 [200]: /favicon.ico
[Thu Nov 14 11:43:34 2019] 127.0.0.1:52877 [200]: /favicon.ico
[Thu Nov 14 11:44:14 2019] 127.0.0.1:52890 [200]: /favicon.ico
[Thu Nov 14 11:44:16 2019] 127.0.0.1:52894 [200]: /favicon.ico
[Thu Nov 14 11:44:18 2019] 127.0.0.1:52897 [200]: /css/app.css
[Thu Nov 14 11:44:18 2019] 127.0.0.1:52899 [200]: /js/app.js
[Thu Nov 14 11:44:19 2019] 127.0.0.1:52900 [200]: /favicon.ico
[Thu Nov 14 11:47:10 2019] 127.0.0.1:52942 [200]: /css/app.css
[Thu Nov 14 11:47:10 2019] 127.0.0.1:52945 [200]: /js/app.js
[Thu Nov 14 11:47:10 2019] 127.0.0.1:52946 [200]: /favicon.ico
[Thu Nov 14 11:47:16 2019] 127.0.0.1:52949 [200]: /favicon.ico
[Thu Nov 14 11:48:29 2019] 127.0.0.1:52967 [200]: /favicon.ico
[Thu Nov 14 11:48:51 2019] 127.0.0.1:52980 [200]: /favicon.ico
[Thu Nov 14 11:50:09 2019] 127.0.0.1:53003 [200]: /favicon.ico
[Thu Nov 14 11:57:14 2019] 127.0.0.1:53106 [200]: /favicon.ico
[Thu Nov 14 12:01:30 2019] 127.0.0.1:53175 [200]: /favicon.ico
[Thu Nov 14 12:02:47 2019] 127.0.0.1:53193 [200]: /favicon.ico
[Thu Nov 14 12:03:02 2019] 127.0.0.1:53198 [200]: /css/app.css
[Thu Nov 14 12:03:02 2019] 127.0.0.1:53202 [200]: /js/app.js
[Thu Nov 14 12:03:03 2019] 127.0.0.1:53203 [200]: /favicon.ico
[Thu Nov 14 12:04:27 2019] 127.0.0.1:53224 [200]: /favicon.ico
[Thu Nov 14 12:12:50 2019] 127.0.0.1:53343 [200]: /favicon.ico
[Thu Nov 14 12:13:13 2019] 127.0.0.1:53356 [200]: /favicon.ico
[Thu Nov 14 12:13:49 2019] 127.0.0.1:53370 [200]: /favicon.ico
[Thu Nov 14 12:16:07 2019] 127.0.0.1:53399 [200]: /css/app.css
[Thu Nov 14 12:16:07 2019] 127.0.0.1:53403 [200]: /js/app.js
[Thu Nov 14 12:16:07 2019] 127.0.0.1:53404 [200]: /images/keFwYvZwfQSht4FV4CRgYeO8xsXiz6BEizsQmeWS.jpeg
[Thu Nov 14 12:16:07 2019] 127.0.0.1:53405 [200]: /favicon.ico
[Thu Nov 14 12:16:15 2019] 127.0.0.1:53408 [200]: /css/app.css
[Thu Nov 14 12:16:15 2019] 127.0.0.1:53410 [200]: /js/app.js
[Thu Nov 14 12:16:15 2019] 127.0.0.1:53411 [200]: /favicon.ico
[Thu Nov 14 12:16:17 2019] 127.0.0.1:53412 [200]: /css/app.css
[Thu Nov 14 12:16:17 2019] 127.0.0.1:53415 [200]: /js/app.js
[Thu Nov 14 12:16:17 2019] 127.0.0.1:53416 [200]: /images/keFwYvZwfQSht4FV4CRgYeO8xsXiz6BEizsQmeWS.jpeg
[Thu Nov 14 12:16:17 2019] 127.0.0.1:53417 [200]: /favicon.ico
[Thu Nov 14 12:16:53 2019] 127.0.0.1:53430 [200]: /css/app.css
[Thu Nov 14 12:16:53 2019] 127.0.0.1:53431 [200]: /js/app.js
[Thu Nov 14 12:16:54 2019] 127.0.0.1:53432 [200]: /favicon.ico
[Thu Nov 14 12:17:37 2019] 127.0.0.1:53443 [200]: /css/app.css
[Thu Nov 14 12:17:37 2019] 127.0.0.1:53446 [200]: /js/app.js
[Thu Nov 14 12:17:38 2019] 127.0.0.1:53447 [200]: /favicon.ico
[Thu Nov 14 12:17:43 2019] 127.0.0.1:53451 [200]: /favicon.ico
[Thu Nov 14 12:19:18 2019] 127.0.0.1:53475 [200]: /css/app.css
[Thu Nov 14 12:19:18 2019] 127.0.0.1:53480 [200]: /images/keFwYvZwfQSht4FV4CRgYeO8xsXiz6BEizsQmeWS.jpeg
[Thu Nov 14 12:19:18 2019] 127.0.0.1:53479 [200]: /js/app.js
[Thu Nov 14 12:19:18 2019] 127.0.0.1:53481 [200]: /favicon.ico
[Thu Nov 14 12:19:26 2019] 127.0.0.1:53484 [200]: /css/app.css
[Thu Nov 14 12:19:26 2019] 127.0.0.1:53486 [200]: /js/app.js
[Thu Nov 14 12:19:26 2019] 127.0.0.1:53487 [200]: /favicon.ico
[Thu Nov 14 12:19:29 2019] 127.0.0.1:53490 [200]: /css/app.css
[Thu Nov 14 12:19:29 2019] 127.0.0.1:53494 [200]: /images/kDtglZGODWAJKiRDnM9q2AeFaKlDRKMAqrxqiuXk.jpeg
[Thu Nov 14 12:19:29 2019] 127.0.0.1:53492 [200]: /css/blog-home.css
[Thu Nov 14 12:19:29 2019] 127.0.0.1:53493 [200]: /images/keFwYvZwfQSht4FV4CRgYeO8xsXiz6BEizsQmeWS.jpeg
[Thu Nov 14 12:19:29 2019] 127.0.0.1:53501 [200]: /js/app.js
[Thu Nov 14 12:19:32 2019] 127.0.0.1:53505 [200]: /favicon.ico
[Thu Nov 14 12:19:37 2019] 127.0.0.1:53508 [200]: /css/app.css
[Thu Nov 14 12:19:37 2019] 127.0.0.1:53510 [200]: /js/app.js
[Thu Nov 14 12:19:37 2019] 127.0.0.1:53511 [200]: /favicon.ico
