Windows PowerShell
Copyright (C) 2015 Microsoft Corporation. All rights reserved.

PS C:\xampp\htdocs\blog> php artisan serve
Laravel development server started: http://127.0.0.1:8000
[Wed Nov 13 09:48:23 2019] 127.0.0.1:50189 [200]: /favicon.ico
[Wed Nov 13 09:49:11 2019] 127.0.0.1:50223 [200]: /favicon.ico
[Wed Nov 13 09:49:25 2019] 127.0.0.1:50229 [200]: /favicon.ico
[Wed Nov 13 09:50:06 2019] 127.0.0.1:50242 [200]: /css/app.css
[Wed Nov 13 09:50:06 2019] 127.0.0.1:50247 [200]: /css/blog-home.css
[Wed Nov 13 09:50:06 2019] 127.0.0.1:50252 [200]: /js/app.js
[Wed Nov 13 09:50:27 2019] 127.0.0.1:50355 [200]: /favicon.ico
[Wed Nov 13 09:56:04 2019] 127.0.0.1:50448 [200]: /css/app.css
[Wed Nov 13 09:56:04 2019] 127.0.0.1:50453 [200]: /css/blog-home.css
[Wed Nov 13 09:56:04 2019] 127.0.0.1:50458 [200]: /js/app.js
[Wed Nov 13 09:56:24 2019] 127.0.0.1:50561 [200]: /favicon.ico
[Wed Nov 13 10:03:58 2019] 127.0.0.1:50673 [200]: /css/app.css
[Wed Nov 13 10:03:58 2019] 127.0.0.1:50677 [200]: /css/blog-home.css
[Wed Nov 13 10:03:58 2019] 127.0.0.1:50683 [200]: /js/app.js
[Wed Nov 13 10:04:18 2019] 127.0.0.1:50786 [200]: /favicon.ico
[Wed Nov 13 10:04:32 2019] 127.0.0.1:50793 [200]: /css/app.css
[Wed Nov 13 10:04:32 2019] 127.0.0.1:50799 [200]: /css/blog-home.css
[Wed Nov 13 10:04:32 2019] 127.0.0.1:50804 [200]: /js/app.js
[Wed Nov 13 10:04:51 2019] 127.0.0.1:50902 [200]: /favicon.ico
[Wed Nov 13 10:05:22 2019] 127.0.0.1:50914 [200]: /css/app.css
[Wed Nov 13 10:05:22 2019] 127.0.0.1:50915 [200]: /js/app.js
[Wed Nov 13 10:05:22 2019] 127.0.0.1:50916 [200]: /favicon.ico
[Wed Nov 13 10:05:26 2019] 127.0.0.1:50920 [200]: /css/app.css
[Wed Nov 13 10:05:26 2019] 127.0.0.1:50922 [200]: /css/blog-home.css
[Wed Nov 13 10:05:26 2019] 127.0.0.1:50929 [200]: /js/app.js
[Wed Nov 13 10:05:47 2019] 127.0.0.1:51029 [200]: /favicon.ico
[Wed Nov 13 10:05:55 2019] 127.0.0.1:51032 [200]: /css/app.css
[Wed Nov 13 10:05:55 2019] 127.0.0.1:51036 [200]: /css/blog-home.css
[Wed Nov 13 10:05:55 2019] 127.0.0.1:51041 [200]: /js/app.js
[Wed Nov 13 10:06:16 2019] 127.0.0.1:51143 [200]: /favicon.ico
[Wed Nov 13 10:33:51 2019] 127.0.0.1:51509 [200]: /css/app.css
[Wed Nov 13 10:33:51 2019] 127.0.0.1:51512 [200]: /css/blog-home.css
[Wed Nov 13 10:33:51 2019] 127.0.0.1:51519 [200]: /js/app.js
